User ID,Description,Home Organization,User Group,Associated Supplier,Department,E-mail Address,External User ID,KNet Integration Status,Last Login Attempt,Language,Mobile,Allow LT Confirm Completion,Allow Contains Search in Dataspy and Quick Filter,Allow Viewing Audit Trail,Locale,Digital Work App
PLANNER_1@email.COM,PLANNER_1,SITE_A,,,RME,PLANNER_1@email.com,PLANNER_1,,,English,YES,NO,,YES,,
PLANNER_2@email.COM,PLANNER_2,SITE_B,,,RME,PLANNER_2@email.com,PLANNER_2,,,English,YES,NO,,YES,North America,
PLANNER_3@email.COM,PLANNER_3,SITE_C,,,RME,PLANNER_3@email.com,PLANNER_3,,,English,YES,NO,,YES,North America,
PLANNER_4@email.COM,PLANNER_4,SITE_D,,,RME,PLANNER_4@email.com,PLANNER_4,,,English,YES,NO,,YES,North America,
PLANNER_5@email.COM,PLANNER_5,SITE_E,,,RME,PLANNER_5@email.com,PLANNER_5,,,English,NO,NO,,YES,,
PLANNER_6@email.COM,PLANNER_6,SITE_F,,,RME,PLANNER_6@email.com,PLANNER_6,,,English,YES,NO,,YES,North America,
PLANNER_7@email.COM,PLANNER_7,SITE_G,,,RME,PLANNER_7@email.com,PLANNER_7,,,English,YES,NO,,YES,North America,
PLANNER_8@email.COM,PLANNER_8,SITE_H,,,RME,PLANNER_8@email.com,PLANNER_8,,,English,YES,NO,,YES,North America,
PLANNER_9@email.COM,PLANNER_9,SITE_I,,,RME,PLANNER_9@email.com,PLANNER_9,,,English,YES,NO,,YES,North America,
PLANNER_10@email.COM,PLANNER_10,SITE_J,,,RME,PLANNER_10@email.com,PLANNER_10,,,English,NO,NO,,YES,North America,
PLANNER_11@email.COM,PLANNER_11,SITE_K,,,RME,PLANNER_11@email.COM,PLANNER_11,,,English,YES,NO,,YES,North America,
PLANNER_12@email.COM,PLANNER_12,SITE_L,,,RME,PLANNER_12@email.COM,PLANNER_12,,,English,YES,NO,,YES,,
PLANNER_13@email.COM,PLANNER_13,SITE_M,,,RME,PLANNER_13@email.com,PLANNER_13,,,English,YES,NO,,YES,,
